
%% EDITED TO CONTAIN ONLY ONE DEPENDENT VARIABLE.
%% DEPENDENT VARIABLE (EFFORT) WAS MOVED AS THE LAST ATTRIBUTE.
%% Projects with missing attributes eliminated.

@relation 'desharnais.csv-weka.filters.unsupervised.attribute.Remove-R1,5'

@attribute TeamExp numeric
@attribute ManagerExp numeric
@attribute YearEnd numeric
@attribute Transactions numeric
@attribute Entities numeric
@attribute PointsNonAdjust numeric
@attribute Adjustment numeric
@attribute PointsAjust numeric
@attribute Language {lang1,lang2,lang3}
@attribute Effort numeric

@data
1,4,85,253,52,305,34,302,lang1,5152
0,0,86,197,124,321,33,315,lang1,5635
4,4,85,40,60,100,18,83,lang1,805
0,0,86,200,119,319,30,303,lang1,3829
0,0,86,140,94,234,24,208,lang1,2149
0,0,86,97,89,186,38,192,lang1,2821
2,1,85,119,42,161,25,145,lang2,2569
1,2,83,186,52,238,25,214,lang1,3913
3,1,85,172,88,260,30,247,lang1,7854
3,4,83,78,38,116,24,103,lang1,2422
4,1,84,167,99,266,24,237,lang1,4067
2,1,84,146,112,258,40,271,lang1,9051
1,1,84,33,72,105,19,88,lang1,2282
3,4,85,162,61,223,32,216,lang1,4172
4,4,85,223,121,344,28,320,lang1,4977
3,2,85,119,48,167,26,152,lang2,1617
4,3,85,57,43,100,43,108,lang1,3192
4,4,86,68,316,384,20,326,lang2,3437
3,4,87,9,386,395,21,340,lang2,4494
4,2,86,58,34,92,29,86,lang1,840
4,4,86,318,269,587,34,581,lang2,14973
2,4,85,88,170,258,34,255,lang1,5180
2,4,86,306,132,438,37,447,lang1,5775
4,1,87,304,78,382,39,397,lang1,10577
1,4,86,89,200,289,33,283,lang1,3983
4,1,85,86,230,316,33,310,lang1,3164
2,0,86,71,235,306,37,312,lang1,3542
3,1,85,148,324,472,39,491,lang1,4277
4,4,85,116,170,286,27,263,lang1,7252
4,1,85,175,277,452,37,461,lang1,3948
4,3,86,79,128,207,27,190,lang1,3927
1,1,86,145,38,183,27,168,lang3,710
4,4,87,174,78,252,41,267,lang3,2429
1,1,85,194,91,285,35,285,lang1,6405
2,2,88,126,49,175,38,180,lang3,651
1,3,86,317,119,436,34,432,lang2,9135
2,4,87,289,88,377,28,351,lang3,1435
1,4,88,158,59,217,18,180,lang3,847
3,3,88,302,145,447,52,523,lang2,8050
1,1,87,451,48,499,28,464,lang1,4620
2,4,87,661,132,793,23,698,lang3,2352
1,1,88,64,54,118,25,106,lang1,2174
2,1,86,182,126,308,35,308,lang1,6699
2,3,87,173,332,505,19,424,lang1,14987
2,2,88,252,7,259,28,241,lang1,4004
4,3,85,131,180,311,51,361,lang1,12824
2,3,85,106,39,145,6,103,lang1,2331
3,3,85,96,108,204,29,192,lang1,5817
2,3,85,116,72,188,18,156,lang1,2989
3,3,85,86,49,135,32,131,lang1,3136
2,3,85,221,121,342,35,342,lang1,14434
1,1,87,61,96,157,18,130,lang1,2583
1,3,86,132,89,221,5,155,lang2,3647
3,7,86,45,387,432,16,350,lang2,8232
1,1,86,55,112,167,12,129,lang2,3276
1,4,87,124,52,176,14,139,lang2,2723
3,3,87,120,126,246,15,197,lang2,3472
1,2,87,47,32,79,14,62,lang2,1575
1,1,86,126,107,233,23,205,lang2,2926
3,2,86,101,45,146,15,117,lang2,1876
1,1,86,78,99,177,14,140,lang1,2520
4,7,86,69,74,143,14,113,lang1,1603
1,3,86,194,97,291,35,291,lang2,3626
2,4,87,323,184,507,35,507,lang2,11361
1,3,86,42,31,73,27,67,lang2,1267
1,2,87,74,43,117,25,105,lang2,2548
3,4,87,101,57,158,9,117,lang2,1155
0,4,86,97,42,139,6,99,lang3,546
2,3,84,134,77,211,13,165,lang2,2275
4,5,86,482,227,709,26,645,lang2,9100
0,2,84,213,73,286,6,203,lang3,595
2,3,86,473,182,655,40,688,lang2,13860
4,4,85,229,169,398,39,414,lang3,1400
4,3,83,227,73,300,34,297,lang1,2800
4,4,82,395,193,588,40,617,lang1,9520
4,3,86,469,176,645,43,697,lang3,5880
4,4,85,886,241,1127,34,1116,lang1,23940
